site_id,elevation_m,slope_class,soil_type,vegetation,geology,drainage,risk
S-0068,448,moderate,organic,shrub,intrusive,moderate,0
S-0069,596,flat,rocky,wetland,intrusive,poor,0
S-0070,236,flat,sand,bare,metamorphic,moderate,1
S-0071,395,steep,sand,bare,metamorphic,poor,1
S-0072,408,gentle,clay,forest,sedimentary,moderate,1
S-0073,70,gentle,organic,shrub,volcanic,poor,0
S-0074,835,moderate,rocky,wetland,volcanic,poor,0
S-0075,217,moderate,clay,wetland,sedimentary,good,1
S-0076,782,gentle,loam,wetland,sedimentary,poor,0
S-0077,358,flat,rocky,grassland,sedimentary,excessive,0
S-0078,62,steep,organic,forest,intrusive,good,0
S-0079,898,steep,loam,bare,volcanic,good,0
S-0080,526,steep,loam,grassland,metamorphic,poor,1
S-0081,511,gentle,rocky,wetland,intrusive,excessive,0
S-0082,549,gentle,sand,grassland,metamorphic,good,0
S-0083,768,moderate,loam,wetland,sedimentary,poor,1
S-0084,296,steep,clay,bare,intrusive,poor,1
S-0085,464,gentle,sand,wetland,metamorphic,excessive,0
S-0086,613,moderate,sand,bare,metamorphic,good,1
S-0087,173,gentle,rocky,forest,metamorphic,moderate,1
S-0088,653,moderate,sand,shrub,sedimentary,moderate,1
S-0089,359,flat,clay,grassland,volcanic,poor,1
S-0090,820,steep,rocky,forest,sedimentary,good,1
S-0091,501,moderate,sand,forest,volcanic,excessive,0
S-0092,640,flat,rocky,shrub,volcanic,good,1
S-0093,304,flat,rocky,wetland,intrusive,moderate,0
S-0094,354,steep,rocky,wetland,metamorphic,poor,0
S-0095,807,flat,sand,shrub,volcanic,poor,1
S-0096,52,steep,organic,wetland,intrusive,good,1
S-0097,345,moderate,loam,forest,intrusive,good,0
S-0098,252,steep,loam,wetland,sedimentary,moderate,0
S-0099,896,gentle,loam,forest,sedimentary,good,0
S-0100,499,flat,organic,grassland,intrusive,good,0
S-0101,555,steep,clay,wetland,sedimentary,excessive,1
S-0102,284,flat,clay,wetland,metamorphic,moderate,0
S-0103,717,steep,rocky,shrub,metamorphic,excessive,1
S-0104,406,steep,clay,grassland,metamorphic,moderate,1
S-0105,760,steep,rocky,bare,metamorphic,poor,1
S-0106,841,steep,organic,wetland,sedimentary,excessive,1
S-0107,580,moderate,clay,bare,intrusive,moderate,1
S-0108,765,steep,rocky,forest,sedimentary,moderate,1
S-0109,368,flat,loam,forest,intrusive,poor,0
S-0110,560,moderate,organic,bare,metamorphic,excessive,1
S-0111,614,gentle,rocky,shrub,intrusive,moderate,0
S-0112,474,moderate,sand,forest,metamorphic,good,0
S-0113,643,steep,rocky,bare,volcanic,excessive,1
S-0114,516,moderate,rocky,shrub,volcanic,excessive,1
S-0115,844,steep,organic,grassland,sedimentary,excessive,0
S-0116,205,steep,rocky,shrub,sedimentary,good,0
S-0117,500,flat,loam,forest,intrusive,excessive,1
S-0118,850,moderate,organic,wetland,metamorphic,poor,0
S-0119,740,steep,rocky,bare,metamorphic,poor,1
S-0120,344,gentle,clay,bare,sedimentary,poor,1
S-0121,760,moderate,sand,forest,sedimentary,poor,1
S-0122,593,steep,loam,shrub,volcanic,poor,0
S-0123,441,gentle,loam,wetland,intrusive,moderate,0
S-0124,59,steep,loam,wetland,metamorphic,poor,1
S-0125,403,moderate,organic,grassland,intrusive,good,0
S-0126,292,steep,sand,wetland,metamorphic,good,1
S-0127,899,steep,rocky,forest,metamorphic,poor,0
S-0128,343,gentle,loam,shrub,metamorphic,good,0
S-0129,788,gentle,sand,forest,sedimentary,excessive,1
S-0130,352,moderate,loam,shrub,intrusive,moderate,0
S-0131,424,moderate,organic,grassland,volcanic,good,1
S-0132,127,gentle,rocky,bare,volcanic,good,1
S-0133,454,flat,clay,wetland,metamorphic,excessive,0
S-0134,440,moderate,organic,shrub,sedimentary,poor,1
S-0135,624,moderate,organic,forest,volcanic,good,1
S-0136,88,moderate,clay,forest,intrusive,moderate,0
S-0137,188,steep,rocky,grassland,intrusive,excessive,0
S-0138,720,flat,organic,wetland,intrusive,good,1
S-0139,429,gentle,loam,bare,intrusive,good,0
S-0140,710,moderate,sand,bare,sedimentary,moderate,0
S-0141,893,steep,rocky,shrub,sedimentary,poor,0
S-0142,855,gentle,loam,wetland,sedimentary,moderate,0
S-0143,288,moderate,clay,wetland,volcanic,good,1
S-0144,306,gentle,loam,forest,sedimentary,poor,1
S-0145,857,gentle,loam,forest,metamorphic,good,0
S-0146,813,flat,sand,bare,intrusive,poor,0
S-0147,276,flat,clay,bare,metamorphic,poor,1
S-0148,160,steep,clay,forest,intrusive,good,0
S-0149,117,gentle,rocky,wetland,metamorphic,good,0
S-0150,567,steep,rocky,forest,sedimentary,moderate,1
S-0151,283,steep,organic,bare,metamorphic,excessive,1
S-0152,311,moderate,clay,bare,volcanic,poor,0
S-0153,145,steep,loam,grassland,sedimentary,poor,1
S-0154,175,steep,clay,bare,metamorphic,good,1
S-0155,410,flat,organic,shrub,volcanic,moderate,0
S-0156,167,moderate,rocky,bare,volcanic,poor,0
S-0157,723,moderate,sand,shrub,sedimentary,good,1
S-0158,196,steep,clay,shrub,sedimentary,poor,1
S-0159,270,steep,sand,bare,intrusive,moderate,0
S-0160,631,flat,loam,shrub,sedimentary,poor,0
S-0161,328,steep,rocky,bare,intrusive,excessive,1
S-0162,403,steep,rocky,grassland,sedimentary,excessive,1
S-0163,365,flat,rocky,bare,volcanic,poor,1
S-0164,190,moderate,clay,grassland,metamorphic,poor,1
S-0165,490,gentle,rocky,bare,volcanic,moderate,0
S-0166,123,steep,clay,bare,sedimentary,excessive,1
S-0167,370,steep,sand,bare,intrusive,poor,1
S-0168,682,steep,organic,forest,metamorphic,poor,1
S-0169,653,steep,sand,bare,sedimentary,good,1
S-0170,698,flat,sand,grassland,volcanic,moderate,1
S-0171,199,moderate,rocky,shrub,volcanic,moderate,1
S-0172,841,steep,rocky,wetland,intrusive,excessive,0
S-0173,628,moderate,organic,shrub,metamorphic,poor,0
S-0174,655,flat,clay,wetland,metamorphic,good,0
S-0175,88,flat,clay,grassland,metamorphic,poor,0
S-0176,617,flat,loam,wetland,intrusive,good,0
S-0177,563,gentle,clay,bare,sedimentary,good,0
S-0178,90,gentle,rocky,bare,intrusive,moderate,1
S-0179,339,steep,rocky,grassland,intrusive,poor,1
S-0180,146,steep,rocky,grassland,metamorphic,moderate,1
S-0181,646,gentle,organic,grassland,metamorphic,moderate,0
S-0182,435,moderate,clay,wetland,volcanic,excessive,0
S-0183,68,moderate,loam,shrub,metamorphic,good,1
S-0184,190,gentle,clay,grassland,sedimentary,poor,0
S-0185,834,gentle,loam,shrub,intrusive,moderate,0
S-0186,219,steep,sand,bare,sedimentary,moderate,0
S-0187,675,moderate,rocky,shrub,intrusive,moderate,0
S-0188,248,moderate,sand,bare,intrusive,excessive,1
S-0189,478,gentle,loam,wetland,volcanic,good,0
S-0190,155,flat,loam,forest,metamorphic,good,0
S-0191,575,gentle,loam,forest,intrusive,excessive,0
S-0192,455,moderate,clay,bare,volcanic,good,1
S-0193,376,flat,loam,shrub,metamorphic,poor,0
S-0194,192,steep,clay,wetland,intrusive,poor,1
S-0195,270,gentle,sand,forest,intrusive,moderate,0
S-0196,862,steep,organic,forest,sedimentary,poor,1
S-0197,638,gentle,organic,grassland,volcanic,poor,0
S-0198,730,flat,rocky,forest,metamorphic,poor,0
S-0199,531,flat,sand,grassland,intrusive,poor,1
S-0200,722,flat,clay,shrub,metamorphic,good,0
S-0201,883,gentle,loam,bare,intrusive,moderate,1
S-0202,350,gentle,clay,shrub,sedimentary,good,0
S-0203,577,steep,clay,grassland,intrusive,moderate,1
S-0204,721,moderate,sand,forest,metamorphic,excessive,0
S-0205,811,steep,loam,grassland,intrusive,excessive,0
S-0206,323,flat,organic,forest,intrusive,moderate,0
S-0207,378,flat,sand,grassland,sedimentary,good,1
S-0208,504,moderate,sand,forest,intrusive,excessive,1
S-0209,860,flat,sand,bare,sedimentary,moderate,0
S-0210,850,steep,clay,shrub,sedimentary,moderate,1
S-0211,425,moderate,clay,wetland,intrusive,moderate,0
S-0212,831,flat,sand,wetland,volcanic,excessive,0
S-0213,335,gentle,loam,forest,sedimentary,excessive,1
S-0214,843,moderate,rocky,shrub,intrusive,good,0
S-0215,552,gentle,clay,shrub,sedimentary,excessive,0
S-0216,879,moderate,rocky,forest,metamorphic,good,0
S-0217,211,gentle,loam,wetland,metamorphic,poor,1
S-0218,555,flat,rocky,wetland,metamorphic,good,0
S-0219,614,gentle,sand,forest,sedimentary,excessive,0
S-0220,837,steep,sand,shrub,sedimentary,poor,1
S-0221,746,moderate,rocky,wetland,volcanic,moderate,0
S-0222,106,flat,loam,grassland,volcanic,moderate,0
S-0223,776,gentle,sand,wetland,metamorphic,poor,0
S-0224,178,moderate,loam,wetland,sedimentary,moderate,1
S-0225,689,moderate,clay,forest,sedimentary,poor,1
S-0226,265,steep,rocky,bare,sedimentary,good,1
S-0227,359,steep,sand,bare,volcanic,excessive,1
S-0228,545,steep,rocky,grassland,volcanic,moderate,1
S-0229,785,moderate,loam,bare,metamorphic,good,1
S-0230,175,moderate,loam,shrub,intrusive,poor,1
S-0231,443,steep,sand,shrub,volcanic,good,0
S-0232,528,steep,clay,bare,metamorphic,poor,0
S-0233,567,steep,rocky,shrub,volcanic,good,0
S-0234,719,steep,clay,wetland,metamorphic,poor,1
S-0235,320,moderate,clay,grassland,intrusive,excessive,1
S-0236,345,flat,organic,wetland,intrusive,good,0
S-0237,688,flat,organic,forest,volcanic,good,0
S-0238,823,gentle,rocky,wetland,volcanic,excessive,0
S-0239,96,flat,organic,grassland,volcanic,excessive,1
S-0240,677,moderate,rocky,bare,volcanic,good,1
S-0241,569,steep,clay,bare,metamorphic,good,1
S-0242,365,flat,rocky,grassland,intrusive,moderate,0
S-0243,647,steep,rocky,wetland,volcanic,excessive,1
S-0244,767,flat,organic,forest,volcanic,good,0
S-0245,472,gentle,rocky,wetland,intrusive,excessive,1
S-0246,191,gentle,rocky,bare,metamorphic,excessive,1
S-0247,227,steep,sand,wetland,metamorphic,good,1
S-0248,621,moderate,sand,grassland,volcanic,moderate,0
S-0249,550,moderate,rocky,grassland,intrusive,good,0
S-0250,454,moderate,clay,grassland,volcanic,good,0
S-0251,130,moderate,organic,grassland,intrusive,moderate,0
S-0252,762,moderate,rocky,forest,volcanic,moderate,1
S-0253,735,gentle,clay,forest,volcanic,excessive,0
S-0254,190,flat,organic,bare,volcanic,excessive,0
S-0255,824,moderate,clay,grassland,metamorphic,poor,0
S-0256,88,gentle,clay,shrub,intrusive,excessive,0
S-0257,240,moderate,sand,forest,sedimentary,poor,1
S-0258,706,steep,organic,wetland,volcanic,good,1
S-0259,165,moderate,sand,bare,volcanic,moderate,1
S-0260,740,gentle,organic,wetland,volcanic,excessive,0
S-0261,138,steep,loam,shrub,sedimentary,excessive,1
S-0262,291,steep,sand,grassland,metamorphic,poor,1
S-0263,418,gentle,organic,forest,sedimentary,good,0
S-0264,770,moderate,sand,grassland,sedimentary,moderate,1
S-0265,186,steep,rocky,bare,volcanic,good,1
S-0266,600,gentle,clay,wetland,volcanic,excessive,0
S-0267,420,flat,rocky,forest,sedimentary,moderate,0
S-0268,582,steep,rocky,shrub,sedimentary,excessive,1
S-0269,572,steep,loam,bare,sedimentary,excessive,1
S-0270,876,moderate,sand,bare,sedimentary,poor,1
S-0271,642,flat,sand,bare,sedimentary,poor,0
S-0272,533,flat,loam,bare,metamorphic,moderate,0
S-0273,796,steep,organic,bare,metamorphic,excessive,1
S-0274,602,gentle,loam,forest,metamorphic,excessive,0
S-0275,795,gentle,sand,forest,sedimentary,excessive,0
S-0276,893,gentle,sand,bare,volcanic,moderate,1
S-0277,792,flat,rocky,bare,sedimentary,poor,0
S-0278,507,flat,organic,forest,volcanic,excessive,0
S-0279,272,flat,sand,wetland,volcanic,moderate,0
S-0280,662,moderate,loam,grassland,volcanic,moderate,0
S-0281,331,flat,rocky,bare,volcanic,excessive,0
S-0282,440,moderate,loam,bare,intrusive,good,1
S-0283,822,steep,sand,shrub,volcanic,moderate,1
S-0284,476,gentle,sand,shrub,intrusive,moderate,0
S-0285,130,steep,rocky,forest,metamorphic,moderate,0
S-0286,90,flat,rocky,wetland,volcanic,moderate,0
S-0287,390,moderate,loam,shrub,sedimentary,poor,0
S-0288,762,gentle,rocky,shrub,intrusive,good,0
S-0289,439,steep,sand,grassland,metamorphic,good,1
S-0290,789,steep,sand,shrub,metamorphic,good,1
S-0291,626,gentle,sand,forest,volcanic,excessive,0
S-0292,633,gentle,sand,wetland,intrusive,good,0
S-0293,550,steep,sand,shrub,intrusive,moderate,1
S-0294,605,flat,clay,forest,sedimentary,poor,0
S-0295,695,gentle,clay,shrub,sedimentary,moderate,0
S-0296,732,steep,clay,forest,intrusive,excessive,1
S-0297,592,moderate,rocky,forest,metamorphic,excessive,1
S-0298,148,gentle,rocky,shrub,volcanic,good,0
S-0299,323,steep,organic,grassland,sedimentary,excessive,1
S-0300,750,flat,organic,forest,sedimentary,excessive,0
S-0301,537,flat,clay,shrub,sedimentary,excessive,1
S-0302,147,flat,rocky,shrub,volcanic,excessive,0
S-0303,126,moderate,sand,shrub,sedimentary,poor,0
S-0304,779,steep,loam,grassland,sedimentary,moderate,1
S-0305,448,moderate,clay,shrub,intrusive,good,0
S-0306,398,steep,sand,forest,metamorphic,excessive,1
S-0307,414,steep,rocky,shrub,intrusive,excessive,0
S-0308,780,flat,loam,grassland,sedimentary,excessive,0
S-0309,699,gentle,sand,grassland,intrusive,poor,0
S-0310,829,moderate,clay,shrub,sedimentary,moderate,1
S-0311,620,steep,clay,forest,sedimentary,good,0
S-0312,444,flat,organic,bare,metamorphic,poor,0
S-0313,622,gentle,loam,bare,volcanic,moderate,1
S-0314,221,steep,sand,bare,metamorphic,excessive,1
S-0315,419,moderate,rocky,bare,volcanic,moderate,1
S-0316,455,moderate,organic,grassland,intrusive,good,0
S-0317,893,gentle,rocky,grassland,metamorphic,moderate,0
S-0318,376,moderate,loam,wetland,intrusive,good,0
S-0319,886,steep,rocky,forest,metamorphic,moderate,0
S-0320,613,flat,organic,shrub,intrusive,good,0
S-0321,120,steep,sand,shrub,intrusive,moderate,1
S-0322,436,flat,organic,wetland,intrusive,excessive,0
S-0323,758,steep,rocky,grassland,sedimentary,poor,1
S-0324,220,flat,organic,grassland,intrusive,poor,1
S-0325,314,gentle,sand,bare,volcanic,excessive,0
S-0326,204,moderate,clay,bare,sedimentary,good,1
S-0327,137,flat,sand,grassland,volcanic,good,0
S-0328,537,flat,sand,bare,intrusive,poor,1
S-0329,879,flat,clay,grassland,sedimentary,moderate,1
S-0330,615,gentle,organic,wetland,metamorphic,excessive,1
S-0331,464,gentle,organic,bare,volcanic,poor,0
S-0332,489,steep,loam,shrub,sedimentary,good,0
S-0333,878,flat,loam,wetland,sedimentary,good,1
S-0334,551,moderate,organic,wetland,intrusive,poor,1
S-0335,518,gentle,rocky,wetland,metamorphic,poor,1
S-0336,169,gentle,rocky,shrub,metamorphic,excessive,0
S-0337,191,steep,organic,shrub,intrusive,moderate,1
S-0338,372,steep,clay,grassland,sedimentary,excessive,1
S-0339,884,steep,organic,bare,intrusive,excessive,1
S-0340,628,flat,clay,grassland,volcanic,good,1
S-0341,345,gentle,organic,wetland,intrusive,poor,0
S-0342,425,flat,loam,wetland,intrusive,excessive,1
S-0343,899,gentle,organic,forest,metamorphic,good,0
S-0344,170,gentle,sand,wetland,volcanic,excessive,1
S-0345,192,gentle,rocky,forest,volcanic,good,0
S-0346,770,moderate,sand,wetland,metamorphic,poor,1
S-0347,818,steep,loam,grassland,sedimentary,moderate,1
S-0348,829,steep,rocky,shrub,intrusive,good,0
S-0349,434,steep,organic,forest,sedimentary,good,1
S-0350,549,moderate,organic,forest,sedimentary,good,0
S-0351,864,steep,loam,bare,volcanic,excessive,1
S-0352,641,gentle,clay,grassland,intrusive,poor,1
S-0353,852,steep,loam,forest,sedimentary,excessive,1
S-0354,755,gentle,sand,shrub,metamorphic,poor,0
S-0355,306,flat,clay,shrub,metamorphic,excessive,0
S-0356,489,flat,loam,forest,sedimentary,excessive,1
S-0357,657,gentle,clay,forest,intrusive,good,0
S-0358,185,steep,organic,shrub,sedimentary,poor,0
S-0359,154,flat,sand,grassland,metamorphic,moderate,0
S-0360,706,gentle,rocky,wetland,sedimentary,poor,0
S-0361,218,steep,loam,shrub,metamorphic,excessive,1
S-0362,152,gentle,organic,wetland,sedimentary,good,0
S-0363,372,gentle,clay,grassland,volcanic,moderate,0
S-0364,847,flat,rocky,shrub,metamorphic,moderate,0
S-0365,352,flat,organic,bare,volcanic,poor,1
S-0366,62,moderate,organic,shrub,metamorphic,excessive,1
S-0367,749,gentle,clay,forest,intrusive,poor,0
S-0368,858,steep,organic,wetland,metamorphic,excessive,0
S-0369,134,gentle,sand,forest,metamorphic,poor,0
S-0370,599,moderate,clay,wetland,intrusive,good,0
S-0371,797,gentle,clay,shrub,sedimentary,excessive,1
S-0372,732,gentle,loam,forest,sedimentary,poor,1
S-0373,405,moderate,loam,grassland,volcanic,good,0
S-0374,393,steep,clay,wetland,metamorphic,good,0
S-0375,640,flat,rocky,bare,intrusive,good,1
S-0376,211,moderate,clay,wetland,sedimentary,moderate,0
S-0377,52,flat,clay,shrub,sedimentary,excessive,1
S-0378,86,steep,loam,grassland,volcanic,excessive,0
S-0379,377,moderate,sand,wetland,sedimentary,poor,1
S-0380,873,flat,organic,forest,intrusive,good,0
S-0381,368,moderate,organic,wetland,sedimentary,poor,0
S-0382,807,gentle,rocky,grassland,intrusive,excessive,0
S-0383,844,gentle,clay,shrub,volcanic,excessive,0
S-0384,760,flat,organic,forest,metamorphic,good,1
S-0385,592,gentle,clay,bare,intrusive,moderate,0
S-0386,582,steep,clay,bare,metamorphic,poor,1
S-0387,702,steep,rocky,wetland,sedimentary,poor,1
S-0388,317,moderate,sand,grassland,intrusive,excessive,1
S-0389,126,gentle,clay,wetland,volcanic,moderate,0
S-0390,173,moderate,sand,bare,volcanic,excessive,1
S-0391,172,flat,rocky,grassland,volcanic,poor,1
S-0392,778,gentle,rocky,bare,metamorphic,poor,0
S-0393,316,gentle,organic,bare,sedimentary,moderate,0
S-0394,174,flat,loam,shrub,sedimentary,moderate,0
S-0395,431,flat,clay,forest,metamorphic,poor,0
S-0396,144,moderate,organic,forest,sedimentary,poor,1
S-0397,637,steep,clay,bare,intrusive,excessive,1
S-0398,241,moderate,loam,bare,metamorphic,poor,0
S-0399,681,gentle,organic,bare,metamorphic,excessive,1
S-0400,254,gentle,sand,bare,sedimentary,excessive,1
S-0401,546,moderate,sand,bare,metamorphic,moderate,1
S-0402,880,moderate,rocky,bare,sedimentary,good,1
S-0403,288,gentle,loam,shrub,sedimentary,good,0
S-0404,832,gentle,loam,grassland,intrusive,moderate,1
S-0405,375,moderate,rocky,grassland,sedimentary,moderate,0
S-0406,554,moderate,clay,bare,volcanic,poor,1
S-0407,666,gentle,organic,wetland,sedimentary,poor,0
S-0408,398,gentle,clay,forest,metamorphic,moderate,0
S-0409,195,flat,sand,forest,metamorphic,excessive,0
S-0410,211,steep,loam,grassland,intrusive,good,1
S-0411,653,gentle,sand,grassland,intrusive,moderate,0
S-0412,636,steep,rocky,shrub,sedimentary,good,0
S-0413,676,gentle,loam,bare,sedimentary,good,0
S-0414,221,flat,clay,bare,metamorphic,good,1
S-0415,759,flat,clay,grassland,metamorphic,poor,1
S-0416,220,steep,sand,bare,intrusive,excessive,1
S-0417,540,gentle,clay,bare,volcanic,poor,0
S-0418,125,moderate,loam,bare,volcanic,poor,1
S-0419,145,moderate,organic,forest,intrusive,moderate,1
S-0420,389,gentle,rocky,bare,volcanic,good,0
S-0421,354,gentle,organic,forest,sedimentary,excessive,0
S-0422,351,steep,clay,forest,volcanic,moderate,1
S-0423,348,flat,sand,forest,intrusive,excessive,0
S-0424,707,steep,organic,grassland,volcanic,good,1
S-0425,95,moderate,sand,bare,intrusive,moderate,1
S-0426,763,flat,rocky,grassland,sedimentary,excessive,0
S-0427,653,gentle,rocky,bare,sedimentary,excessive,0
S-0428,636,gentle,clay,grassland,intrusive,excessive,0
S-0429,781,flat,organic,forest,volcanic,moderate,1
S-0430,247,gentle,clay,bare,sedimentary,excessive,1
S-0431,892,gentle,clay,grassland,metamorphic,poor,1
S-0432,332,steep,rocky,wetland,sedimentary,excessive,1
S-0433,203,gentle,rocky,forest,sedimentary,poor,0
S-0434,470,moderate,rocky,bare,intrusive,excessive,1
S-0435,332,steep,rocky,wetland,volcanic,excessive,1
S-0436,293,flat,sand,grassland,intrusive,poor,0
S-0437,862,moderate,organic,grassland,metamorphic,poor,1
S-0438,811,steep,organic,grassland,metamorphic,poor,1
S-0439,266,steep,sand,wetland,intrusive,poor,1
S-0440,568,steep,rocky,wetland,volcanic,poor,1
S-0441,255,flat,organic,forest,volcanic,poor,0
S-0442,893,steep,clay,forest,intrusive,moderate,1
S-0443,658,steep,rocky,bare,volcanic,good,1
S-0444,900,flat,organic,forest,metamorphic,poor,1
S-0445,635,gentle,loam,shrub,volcanic,good,0
S-0446,835,flat,loam,shrub,intrusive,poor,0
S-0447,672,moderate,organic,bare,metamorphic,good,1
S-0448,583,steep,rocky,forest,sedimentary,good,1
S-0449,658,moderate,organic,forest,metamorphic,poor,1
S-0450,333,moderate,loam,shrub,metamorphic,moderate,0
S-0451,874,steep,clay,shrub,metamorphic,excessive,1
S-0452,447,flat,loam,grassland,volcanic,excessive,0
S-0453,737,moderate,rocky,shrub,metamorphic,moderate,0
S-0454,792,gentle,loam,forest,metamorphic,good,1
S-0455,364,steep,sand,grassland,metamorphic,good,1
S-0456,699,flat,rocky,shrub,intrusive,poor,0
S-0457,440,moderate,loam,forest,intrusive,moderate,0
S-0458,518,gentle,clay,shrub,metamorphic,excessive,0
S-0459,231,moderate,organic,forest,sedimentary,good,1
S-0460,212,steep,rocky,shrub,sedimentary,excessive,1
S-0461,463,steep,clay,bare,intrusive,poor,0
S-0462,379,gentle,loam,forest,sedimentary,moderate,0
S-0463,402,moderate,organic,forest,volcanic,good,1
S-0464,347,steep,loam,bare,metamorphic,good,0
S-0465,551,moderate,organic,shrub,volcanic,poor,1
S-0466,801,flat,sand,forest,volcanic,poor,0
S-0467,705,moderate,clay,wetland,sedimentary,poor,0
S-0468,476,steep,rocky,forest,intrusive,good,0
S-0469,206,gentle,organic,grassland,sedimentary,poor,0
S-0470,190,steep,rocky,wetland,sedimentary,poor,1
S-0471,853,flat,rocky,shrub,intrusive,moderate,0
S-0472,416,steep,clay,shrub,metamorphic,excessive,0
S-0473,754,steep,clay,shrub,metamorphic,poor,0
S-0474,735,steep,rocky,forest,volcanic,poor,0
S-0475,153,moderate,sand,bare,volcanic,good,1
S-0476,90,moderate,organic,grassland,metamorphic,poor,1
S-0477,826,flat,loam,shrub,sedimentary,good,0
S-0478,800,flat,loam,grassland,metamorphic,poor,1
S-0479,517,moderate,organic,bare,intrusive,moderate,1
S-0480,213,flat,organic,wetland,intrusive,excessive,1
S-0481,438,moderate,organic,shrub,sedimentary,excessive,1
S-0482,317,moderate,rocky,wetland,sedimentary,moderate,0
S-0483,735,moderate,loam,bare,sedimentary,excessive,1
S-0484,896,flat,rocky,shrub,sedimentary,excessive,0
S-0485,219,flat,loam,grassland,intrusive,good,1
S-0486,708,steep,clay,shrub,intrusive,excessive,1
S-0487,636,steep,organic,bare,sedimentary,good,1
S-0488,155,steep,rocky,forest,intrusive,poor,0
S-0489,860,moderate,sand,bare,volcanic,good,0
S-0490,389,steep,clay,bare,metamorphic,poor,0
S-0491,277,flat,sand,grassland,metamorphic,good,1
S-0492,193,steep,rocky,grassland,sedimentary,moderate,1
S-0493,452,gentle,sand,shrub,intrusive,poor,0
S-0494,738,flat,rocky,bare,intrusive,moderate,0
S-0495,54,flat,organic,wetland,intrusive,moderate,0
S-0496,156,steep,organic,wetland,metamorphic,excessive,0
