variable,encoded_value,original_value
TaxClname,45,"Medial, ferrihydritic, frigid Alic Hapludands"
TaxClname,46,"Medial, ferrihydritic, isomesic Typic Fulvudands"
TaxClname,47,"Medial, frigid Alic Hapludands"
TaxClname,48,"Medial, frigid Typic Haplocryands"
TaxClname,49,"Medial, isomesic Alic Fulvudands"
TaxClname,50,"Medial, isomesic Alic Pachic Melanudands"
TaxClname,51,"Medial-skeletal, ferrihydritic, frigid Alic Hapludands"
TaxClname,52,"Medial-skeletal, frigid Alic Hapludands"
TaxClname,53,"Medial-skeletal, frigid Lithic Haplocryands"
TaxClname,54,"Medial-skeletal, frigid Typic Haplocryands"
TaxClname,55,"Medial-skeletal, mesic Alic Hapludands"
TaxClname,56,"Mixed, isomesic Typic Tropopsamments"
TaxClname,57,"Sandy, mixed, isomesic Entic Haplorthods"
DrainageCl,0,Excessively drained
DrainageCl,1,Moderately well drained
DrainageCl,2,Poorly drained
DrainageCl,3,Somewhat excessively drained
DrainageCl,4,Somewhat poorly drained
DrainageCl,5,Very poorly drained
DrainageCl,6,Well drained
LS,0,no landslide
LS,1,landslide
